comment,is_trust
"Cực kì hài lòng, đẹp",1
"Cực kì hài lòng, ok ok",1
"Cực kì hài lòng, đẹp đấy",1
"Cực kì hài lòng, ",1
"Cực kì hài lòng, ",1
"Cực kì hài lòng, ",1
"Cực kì hài lòng, ",1
"Cực kì hài lòng, ",1
"Cực kì hài lòng, Hat chia rất đều đep, date sd còn xa, tiki đóng goi cẩn thận , shipe giao hàng nhiet tinh, mong tiki giu uy tin voi khach hàng để phat triển tot hon, nhung nha ban hàng k có tam de nghi tiki loai ra khoi k để mất uy tín",1
"Mua Sắm ở Tiki, Sản phẩm ok, đóng gói kỹ
Mình dùng hạt chia kết hợp với Nước Rau củ; Thảo dược; Sữa chua cùng Trái cây; ...
Mỗi ngày 2 muỗng cafe thôi, mà cả tháng gần nửa túi, sắp phải mua thêm  ;)))",1
"Chất lượng va rẻ, Hat to, no đều đẹp,ko bi von cục. Đúng la chất lượng hơn chỗ khac",1
"Cực kì hài lòng, Túi rất to, hạt chia đẹp, to đều, không hề thấy sạn hay cỏ rác như các loại đã mua trước đây. Vô cùng hài lòng với sản phẩm này.",1
"Cực kì hài lòng, Lúc mua mình không biết có phải loại dởm không vì rẻ như vậy. Tuy nhiên nhận hàng thấy chắc chắn, đáng tin, còn được tặng kèm nho khô nữa ạ!",1
"Hàng như hình, Hàng đúng mô tả, hạt to không lẫn sạn. Mình dùng không thường xuyên nên mấy tháng rồi chưa hết nửa kg, mua cho cả gia đình dùng thì ok.",1
"Cực kì hài lòng, mua 1 gói tặng 1 gói đều là chia Úc nhưng 1 túi mã vạch nc ngoài, 1 túi mã vạch Việt Nam. giao hàng lâu 1 tuần mới nhận đc",1
"Cực kì hài lòng, Mua được trong đợt siêu sale. Chất lượng tốt, đóng gói kỹ lưỡng. Giao hàng nhanh",1
"good, nhận hàng thấy gói cẩn thận nên ưng ! giá rẻ. mình mua để dùng bỏ vào ngũ cốc ăn sáng, cảm nhận no lâu và không đói",1
"Không hài lòng, Khui hộp hàng ra toàn kiến , sản phẩm bị rớt tung toé ra ngoài . Mình muốn đc đổi lại sản phẩm ???",0
"Thất vọng!, Rất không hài lòng vì chất lượng món hàng này của Tiki. Mình khui gói hàng ra thì thấy hạt chia đổ đầy ra lớp bao bì nylon bên ngoài.",0
"Đèn đẹp lắm ạ., Hi đèn xinh lắm luôn độ sáng vừa phải cổ đèn có thể điều chỉnh rất tiện dây điện sạc cũng rất tiện, tích điện lâu phết nói chung đèn rất ưng nhược điểm duy nhất là không được chọn màu mình muốn mua màu xanh dương nhưng random lại trúng màu trắng. Vote 5 star",1
"Cực kì hài lòng, Không có gì phải chê. Hàng đúng như miêu tả. Đẹp, hiện đại và sang. Để được rất nhiều bút và dụng cụ học tập. Điện thoại để ngang tầm mắt rất hài lòng. Cổ đèn uốn dẻo linh hoạt theo nhu cầu ánh sáng thực tế ở vị trí mình cần. 3 chế độ sáng đều rất tốt. Ngoài ra sản phẩm này để trang trí cũng rất phù hợp cho chụp ảnh quay phim.",1
"Cực thích sản phẩm này, Nghe đâu một tuần mới giao hàng, thì ra giao hàng rất sớm quả không phải chờ đợi lâu :) Mình được một người bạn giới thiệu sp này, cực kỳ mê ly sau khi đập hộp :D và sử dụng ngay :)) Buổi tối đọc rất êm mắt, sáng màu vàng nhẹ không gắt mắt, trang giấy cũng vàng lên nhìn rất cổ cổ *cảm thấy thích thú đọc hơn* :)) Cám ơn Tiki đã mang đến phương tiện này nhiều lắm ;))",1
"hợp với giá tiền, đủ độ sáng và tiện lợi cho việc đọc sách đêm, đăc biệt mang cạnh giường đọc rồi ngủ luôn Bạn nào nói không đủ độ sáng thì tui cũng ko hiểu vì sao (có thể do hết pin hoặc mắt yếu, tui thì mắt 10/10), vì với tui là quá sáng Còn vụ cần bị cong thì tui ko bị, chắc do gặp thời nhưng mua xong hôm đi AEON Bình Dương thấy có bán cái này. Giá rẻ hơn trên tiki (hình như là rẻ hơn 1 hay 2k gì đó hehe)",1
"Sản phẩm tốt gía hợp lý, Mình rất hài lòng với sản phẩm này. Ánh sáng có thể thay đổi được nhiều mức độ sáng(từ mạnh tới nhẹ) với ba màu trắng, vàng, và giao thoa giữa hai màu vàng trắng. Sử dụng cảm thấy rất phù hợp để bàn đọc sách và làm việc, dịu mắt khi sử dụng. Giá sản phẩm tốt./",1
"Cực kì hài lòng, Đèn ok!!! đẹp. ko bị trầy. gói cẩn thận. hợp với bàn nhỏ. Thích nhất là chân đèn. rất tiết kiệm diện tích. thiết kế thông minh!!. Còn có bóng đèn hay ko. ko quan trọng. có3 chế độ sáng  tùy người thích ánh sáng vàng hay trắng.. khỏi phí. đáng đồng tiền. bàn to thì nên mua đèn mắc hơn.",1
"Cực kì hài lòng, Đèn đẹp, chắc chắn, đế nặng. Cổ đèn ko giống hình quảng cáo nhưng mình lại thích cổ đèn như này hơn. Nhìn xinh, Mỗi tội mua đèn nhưng ko có kèm bóng đèn phải mua ngoài. Mình xem có shop họ đóng trong hộp xốp như hộp đóng bộ ấm chén thì có đèn kèm theo. Ở đây chỉ thấy đóng trong thùng carton đế được bọc trong miếng bìa carton nữa. Ngoài thùng quấn nilon cùng xốp 2 mặt rất chắc chắn. Dù sao với cung cách gói sp và shipper nhiệt tình thì cho Tiki 5*.",1
